General form,Format type,Example
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/28/10
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
yyyy-mm-dd,DATEw,1990/10/28
dd-mmm-yy,DATEw,28-Oct-90
dd-mmm-yyyy,DATEw,28-Oct-1990
mm/dd/yy,ADATEw,10/28/90
mm/dd/yyyy,ADATEw,10/28/1990
dd.mm.yy,EDATEw,28.10.90
dd.mm.yyyy,EDATEw,28.10.1990
yy/mm/dd,SDATEw,90/10/28
yyyy/mm/dd,SDATEw,1990/10/28
mmm yyyy,MOYRw,Oct 1990
